YearG,Male66,Female66,Male77,Female77,Male87,Female87,Male98,Female98
00-04,1188403,-1155798,1542314,-1479633,1941069,-1859991,1655204,-1574830
05-09,908979,-881481,1298291,-1245060,1735044,-1665121,1846772,-1775769
10-14,821116,-748383,1094935,-1039761,1485426,-1399450,1941412,-1869763
15-19,553188,-542468,832400,-820538,1263639,-1238577,1801080,-1732310
20-24,400907,-421669,663971,-708909,1122123,-1103455,1485413,-1454965
25-29,385459,-413074,510205,-526249,846235,-818300,1270509,-1252597
30-34,350989,-378904,323294,-372499,721979,-672633,1063262,-1052174
35-39,298526,-304463,320076,-380946,529048,-515207,848295,-832195
40-44,231669,-237911,304089,-344123,358783,-376812,696212,-692566
45-49,202100,-194982,254793,-286182,341768,-367949,570427,-548034
50-54,178677,-178792,201430,-212855,317822,-346336,375132,-394124
55-59,156962,-142063,176022,-189397,262173,-275747,349189,-356075
60-64,132890,-134989,144146,-148929,198403,-211707,303936,-322984
65-69,101491,-96482,133474,-128482,156670,-166578,254567,-260264
70-74,64268,-76926,89836,-81310,114450,-113450,164754,-169655
75&+,87291,-103955,99928,-105947,177320,-175361,221632,-237533
N.D.,10292,-10800,2575,-1222,1684,-1198,8934,-15668
