Wilaya,1966,1977,1987,1998,2008
Adrar,0.2,0.3,0.5,0.7,0.9
Chlef,70.7,102.8,142.7,179.1,209
Laghouat,4.1,5.9,8.5,12.7,18.2
Oum El Bouaghi,34,45.2,59.7,76.6,91.6
Batna,30.6,42.1,61.7,78.9,91.9
Bejaia,131.2,156.5,214.5,262.2,279.3
Biskra,10.1,15.7,20.5,27.4,34.4
Bechar,0.5,0.8,1.1,1.4,1.7
Blida,175.3,295.4,414,497.3,636
Bouira,58.4,84.3,118.7,141.8,156.7
Tamanrasset,0.1,0.1,0.2,0.3,0.3
Tebessa,16.2,21.6,28.8,38.6,45.6
Tlemcen,45.7,59.1,78.9,93.2,104.8
Tiaret,15.3,19.7,27.9,35.2,41
Tizi-Ouzou,146.8,196.7,262.6,310.5,316
Djelfa,3.6,5,7.4,12,16.4
Jijel,92.4,132.9,183.3,222.3,247.2
Setif,73,105.6,153.9,201.6,229.1
Saida,17.1,21.3,34.8,41.3,48.9
Skikda,80.7,116,154.6,195.3,223.2
Sidi Bel Abbes,27.6,35.4,49.1,57.9,66.5
Annaba,151.9,243.2,316.8,387.6,423.6
Guelma,53.7,67.5,86.2,104.8,117.6
Constantine,159.2,218.7,303.8,370.8,429.1
Medea,41,53.7,73.6,90.7,92.5
Mostaganem,125.2,165.9,232.6,290.6,338.9
M’Sila,16,22.3,32.3,43,52.9
Mascara,52.6,68.6,95.4,113.9,132
Ouargla,0.6,0.9,1.3,2.1,2.6
Oran,212.8,326.1,439.6,571,685.6
El Bayadh,0.9,1.5,1.9,2.1,2.9
Illizi,0,0,0.1,0.1,0.2
Bordj Bou Arreridj,56.2,75.2,103.2,135,152.7
Boumerdes,176.6,276.3,409.2,435,539
El Tarf,37,58,82.5,105.6,122.3
Tindouf,0,0,0.1,0.2,0.3
Tissemsilt,42.2,54,72.4,84,93.4
El Oued,3.1,4.8,6.9,9.3,11.9
Khenchela,13.1,19.3,25.1,33.4,39.4
Souk Ahras,38.1,49.7,65.2,81,96.5
Tipaza,131.3,208,286.3,274.3,320.2
Mila,32.3,40.4,54.6,72.6,81.8
Ain Defla,57.7,80,109.8,135,156.6
Naama,2,2.8,3.8,4.3,6.4
Ain Temouchent,72.5,92.2,115.6,137.6,156.1
Ghardaia,1.2,1.9,2.5,3.5,4.2
Relizane,60.1,75.7,111.9,131.9,149.1
